Team,Team Name,Year,Average Age,Total Payroll Allocations,Active 26-Man,Injured,Retained,Buried,Wins,Losses,Postseason
OAK,Oakland Athletics,2024,26.5,62132581,28956713,15581092,15557073,1763221,69,93,No Playoffs
PIT,Pittsburgh Pirates,2024,27.7,84050989,51220210,14524211,15341351,2965217,76,86,No Playoffs
TB,Tampa Bay Rays,2024,26.8,89707422,37691876,13179262,34675167,1706572,80,82,No Playoffs
DET,Detroit Tigers,2024,26,96961614,33226992,26677166,36920494,1070295,86,76,Wildcard
CLE,Cleveland Guardians,2024,26.3,105224582,50885032,21120833,22945837,10272880,92,69,Division Winner
BAL,Baltimore Orioles,2024,28.4,109335494,65994548,10808540,30650082,1882324,91,71,Wildcard
MIL,Milwaukee Brewers,2024,27.9,114223379,71398748,34433308,6151779,2239544,93,69,Division Winner
CIN,Cincinnati Reds,2024,28.3,100254855,52050116,22271250,20560145,1573344,77,85,No Playoffs
KC,Kansas City Royals,2024,29.4,122566873,84606907,14486000,21087524,2386442,86,76,Wildcard
WSH,Washington Nationals,2024,26.9,103945407,60351144,26347303,14212004,2847990,71,91,No Playoffs
MIA,Miami Marlins,2024,26.7,96590305,11473396,19701083,64284585,4131241,62,100,No Playoffs
MIN,Minnesota Twins,2024,28.5,129080051,102020614,22053202,2570833,2435402,82,80,No Playoffs
SEA,Seattle Mariners,2024,28.5,147930632,93668820,29288727,28968591,2004494,85,77,No Playoffs
SD,San Diego Padres,2024,30,170855090,142394254,9034386,19045542,2437482,93,69,Wildcard
ARI,Arizona Diamondbacks,2024,28.9,172806829,134502970,9600600,25631063,3001465,89,73,No Playoffs
STL,St. Louis Cardinals,2024,28,175932759,112213666,44602200,18024055,1092838,83,79,No Playoffs
BOS,Boston Red Sox,2024,27.5,188537445,77327289,76400974,31745306,3063876,81,81,No Playoffs
COL,Colorado Rockies,2024,26.8,146100965,79534485,51060000,13132583,2373897,61,101,No Playoffs
LAD,Los Angeles Dodgers,2024,30.4,240240117,169526771,37949016,27706461,1846901,98,64,Division Winner
SF,San Francisco Giants,2024,27.6,201967381,102704227,53113846,44357646,1791662,80,82,No Playoffs
PHI,Philadelphia Phillies,2024,29,246299605,226211338,3031516,15356883,1699868,95,67,Division Winner
ATL,Atlanta Braves,2024,30.9,236433901,156338167,47028814,29249155,8417765,89,73,Wildcard
LAA,Los Angeles Angels,2024,27.4,172189987,40083433,108620160,18817429,5873804,63,99,No Playoffs
CHC,Chicago Cubs,2024,27.9,229567975,177805468,10207418,36617219,7604537,83,79,No Playoffs
TEX,Texas Rangers,2024,29.4,225545408,141209070,70265121,8523079,798138,78,84,No Playoffs
HOU,Houston Astros,2024,29.2,255271371,174853862,45109866,21665317,13642326,88,73,Division Winner
TOR,Toronto Blue Jays,2024,27.9,218402819,132130693,26456777,54615363,5199986,74,88,No Playoffs
CHW,Chicago White Sox,2024,26.1,132497547,74306691,8284460,46893796,3012600,41,121,No Playoffs
NYY,New York Yankees,2024,29.1,308574607,260231924,25630756,19146394,3565533,94,68,Division Winner
NYM,New York Mets,2024,30.4,314748899,186528021,37578740,87720420,3931503,89,73,Wildcard
BAL,Baltimore Orioles,2023,28,68706439,53159734,3179476,9861733,2505496,101,61,Division Winner
TB,Tampa Bay Rays,2023,27.5,74948362,50544710,15788201,2956334,1004572,99,63,Wildcard
PIT,Pittsburgh Pirates,2023,25.6,74670975,30946061,22463351,17801293,3460270,76,86,No Playoffs
CIN,Cincinnati Reds,2023,27.7,95573417,43815845,9699072,38896450,3162050,82,80,No Playoffs
CLE,Cleveland Guardians,2023,26.3,88911627,54881912,1881400,30397406,1158646,76,86,No Playoffs
OAK,Oakland Athletics,2023,26.1,62243227,31196397,7178987,16193039,7674804,50,112,No Playoffs
MIL,Milwaukee Brewers,2023,28.9,115413345,86339557,11924851,13590062,3260808,92,70,Division Winner
MIA,Miami Marlins,2023,28.7,105435809,59782517,25595861,10698514,1158917,84,78,No Playoffs
WSH,Washington Nationals,2023,26.9,93378663,49949016,32648896,7902056,2646435,71,91,No Playoffs
ARI,Arizona Diamondbacks,2023,27.6,116777354,60263998,11197775,39202529,6113052,84,78,Wildcard
SEA,Seattle Mariners,2023,27.1,124766903,71896948,27157168,24571247,1141540,88,74,No Playoffs
DET,Detroit Tigers,2023,27.5,119344514,82493535,20259107,15005322,1586550,78,84,No Playoffs
KC,Kansas City Royals,2023,26.7,95596347,54242001,17014952,22659571,1679823,56,106,No Playoffs
MIN,Minnesota Twins,2023,28.8,155999708,77967521,71263008,3421766,3347413,87,75,Division Winner
ATL,Atlanta Braves,2023,28.5,204689131,158186507,34160535,11447888,894201,104,58,Division Winner
STL,St. Louis Cardinals,2023,27.8,153793028,83908832,48168555,20560215,1155426,71,91,No Playoffs
CHC,Chicago Cubs,2023,28.5,189409358,134751105,12522069,35403285,6732899,83,79,No Playoffs
BOS,Boston Red Sox,2023,28.3,180926796,128063857,28736341,22444333,1682265,78,84,No Playoffs
SF,San Francisco Giants,2023,28.1,187398165,130565831,39922449,15271991,1637894,79,83,No Playoffs
LAD,Los Angeles Dodgers,2023,30,240278296,149705968,33764202,34802727,1290369,100,62,Division Winner
TOR,Toronto Blue Jays,2023,29.6,214630885,194200854,6851292,9776101,3802638,89,73,Wildcard
HOU,Houston Astros,2023,29.6,237107748,211270410,16713200,2830000,2694138,90,72,Division Winner
CHW,Chicago White Sox,2023,27.9,162863836,85292616,37717329,38812106,1041785,61,101,No Playoffs
PHI,Philadelphia Phillies,2023,28.4,245419295,218609553,12530327,3345770,10933645,90,72,Wildcard
TEX,Texas Rangers,2023,29.2,251332754,148828188,96208979,4993881,1301706,90,72,No Playoffs
COL,Colorado Rockies,2023,28.1,171026607,75181741,46742764,47613189,1488913,59,103,No Playoffs
SD,San Diego Padres,2023,29.2,253450531,163098555,71689912,16420993,716071,82,80,No Playoffs
LAA,Los Angeles Angels,2023,26.8,227884276,43769159,147537321,28243281,1334515,73,89,No Playoffs
NYY,New York Yankees,2023,28.5,278651150,187316625,50681231,35880817,1452477,82,80,No Playoffs
NYM,New York Mets,2023,28.4,341673777,104157606,76849257,158207683,2459231,75,87,No Playoffs
BAL,Baltimore Orioles,2022,27.1,44888388,25488146,2759974,13258460,3381808,83,79,No Playoffs
CLE,Cleveland Guardians,2022,25.6,66477492,56507878,702900,4619812,4646902,92,70,Division Winner
OAK,Oakland Athletics,2022,27.1,48443900,15196960,6642582,22966027,3265269,60,102,No Playoffs
PIT,Pittsburgh Pirates,2022,26,56184032,30472503,8449026,13072838,4189665,62,100,No Playoffs
TB,Tampa Bay Rays,2022,27.9,97167073,50869016,33372433,11455026,1470598,86,76,Wildcard
ARI,Arizona Diamondbacks,2022,27.8,85293905,53176803,19224958,9707562,2484582,74,88,No Playoffs
SEA,Seattle Mariners,2022,27.6,110826407,77183408,9896644,13680533,2315822,90,72,Wildcard
MIA,Miami Marlins,2022,27.6,88454422,50291980,20999362,10674607,1938473,69,93,No Playoffs
KC,Kansas City Royals,2022,26.4,92613711,62728828,6413200,21516010,1955673,65,97,No Playoffs
MIL,Milwaukee Brewers,2022,28.5,130769325,93743089,5763506,26548013,4714717,86,76,No Playoffs
STL,St. Louis Cardinals,2022,28.8,155378325,134723541,8750000,9569813,2334971,93,69,Division Winner
HOU,Houston Astros,2022,29,183791796,142736145,21550000,14691453,2135613,106,56,Division Winner
ATL,Atlanta Braves,2022,29,177138888,143633732,20918726,10710954,1875476,101,61,Division Winner
CIN,Cincinnati Reds,2022,27.9,115417321,22546012,61180258,30148483,1542568,62,100,No Playoffs
TOR,Toronto Blue Jays,2022,28.5,177001966,141662800,25698159,7955708,1685299,92,70,Wildcard
MIN,Minnesota Twins,2022,27,150363491,77058186,53517506,18666930,1120869,78,84,No Playoffs
SF,San Francisco Giants,2022,28.3,161717317,43246200,90082706,19651602,2736809,81,81,No Playoffs
CHC,Chicago Cubs,2022,27.9,150580017,83228504,44219852,20225459,2906202,74,88,No Playoffs
DET,Detroit Tigers,2022,27.5,135112588,105762860,13017207,15133063,1199458,66,96,No Playoffs
COL,Colorado Rockies,2022,27.7,140012218,66960029,64172808,7833905,1045476,68,94,No Playoffs
TEX,Texas Rangers,2022,27.2,150037446,100539086,13330822,30024329,6143209,68,94,No Playoffs
WSH,Washington Nationals,2022,28.8,126672438,58988509,40679307,25629924,1374698,55,107,No Playoffs
LAA,Los Angeles Angels,2022,27.7,177727811,118104253,6978028,49768044,2877486,73,89,No Playoffs
LAD,Los Angeles Dodgers,2022,29.5,270381426,231003922,28920266,5332866,1256241,111,51,Division Winner
CHW,Chicago White Sox,2022,29.6,203205326,154697729,20008123,25306501,3192973,81,81,No Playoffs
SD,San Diego Padres,2022,29.2,224511694,173934032,10925000,34528348,921017,89,73,Wildcard
NYY,New York Yankees,2022,29.6,252957200,214676803,25203665,12115094,961638,99,63,Division Winner
NYM,New York Mets,2022,30.1,264342506,222412889,4155954,28130999,992664,101,61,Wildcard
BOS,Boston Red Sox,2022,28.8,211812131,109769156,50192677,48696520,3153778,78,84,No Playoffs
PHI,Philadelphia Phillies,2022,28.3,244484097,158569333,11897332,30945214,9883756,87,75,Wildcard
CLE,Cleveland Guardians,2021,26.6,50670534,35682311,1367760,11873544,1470889,80,82,No Playoffs
TB,Tampa Bay Rays,2021,28.1,70104552,44288651,18352159,6218025,1245717,100,62,Division Winner
BAL,Baltimore Orioles,2021,26.8,42421870,13838690,7682535,19045619,1855026,52,110,No Playoffs
MIA,Miami Marlins,2021,27.1,58088180,16304223,15489077,23940904,2353976,67,95,No Playoffs
PIT,Pittsburgh Pirates,2021,26.8,54356609,17797841,7847255,19989602,971911,61,101,No Playoffs
SEA,Seattle Mariners,2021,27.4,83822113,57010274,16037933,8004079,2199327,90,72,No Playoffs
OAK,Oakland Athletics,2021,30,89767668,51210210,34397095,2500111,1079752,86,76,No Playoffs
MIL,Milwaukee Brewers,2021,28.9,99377415,79937621,3109474,10266654,6217716,95,67,Division Winner
DET,Detroit Tigers,2021,27.5,83698945,61408153,13503703,8352752,434337,77,85,No Playoffs
KC,Kansas City Royals,2021,27.4,91595545,52514932,15758956,21740784,1580873,74,88,No Playoffs
CHW,Chicago White Sox,2021,28,140406825,125829369,3193240,10099143,1285073,93,69,Division Winner
CIN,Cincinnati Reds,2021,28,126587447,85325437,35531500,4226409,1504101,83,79,No Playoffs
COL,Colorado Rockies,2021,27.7,116208966,79695422,5931272,19571956,3010316,74,87,No Playoffs
TEX,Texas Rangers,2021,27,95788819,24843032,7899375,58916700,4129712,60,102,No Playoffs
SF,San Francisco Giants,2021,29.6,171191545,134386796,19766740,12958219,4079790,107,55,Division Winner
TOR,Toronto Blue Jays,2021,28.2,150140253,109902749,8853529,28315121,3068854,91,71,No Playoffs
MIN,Minnesota Twins,2021,28.5,121417939,84942828,13198044,19934219,3342848,73,89,No Playoffs
STL,St. Louis Cardinals,2021,29.5,151469994,116018560,14512682,19759129,1179623,90,72,Wildcard
ATL,Atlanta Braves,2021,28.2,151393755,115354620,3301950,17735468,1596717,88,73,Division Winner
ARI,Arizona Diamondbacks,2021,27.5,91632929,54229878,8694478,25868212,2840361,52,110,No Playoffs
CHC,Chicago Cubs,2021,28,144037170,33340389,38534396,71494409,667976,71,91,No Playoffs
BOS,Boston Red Sox,2021,29.1,186718068,141452731,2832729,41374493,1058115,92,70,Wildcard
HOU,Houston Astros,2021,28.7,194222042,146877726,39870546,4134205,3339565,95,67,Division Winner
NYY,New York Yankees,2021,28.9,203311013,141518753,48217362,12129712,1445186,92,70,Wildcard
WSH,Washington Nationals,2021,28.4,144415187,50076145,34877122,57061332,2400588,65,97,No Playoffs
SD,San Diego Padres,2021,29.1,179767346,125977584,49745500,2549590,1494672,79,83,No Playoffs
PHI,Philadelphia Phillies,2021,28.2,190513223,141014046,19936225,13803916,5759036,82,80,No Playoffs
LAA,Los Angeles Angels,2021,28.7,182749560,33967088,100777679,46663119,1341674,77,85,No Playoffs
LAD,Los Angeles Dodgers,2021,28.9,265343390,174661542,37823684,6150521,15374310,106,56,Wildcard
NYM,New York Mets,2021,29.6,201189189,176565754,11933570,9524946,3735419,77,85,No Playoffs
TB,Tampa Bay Rays,2020,27.9,28290689,21769463,1958020,2086951,2476255,40,20,Division Winner
BAL,Baltimore Orioles,2020,27,23478635,10252278,11102531,1264595,562935,25,35,No Playoffs
OAK,Oakland Athletics,2020,29.3,36720178,35283875,902038,113148,421117,36,24,Division Winner
MIA,Miami Marlins,2020,28.2,33901920,17388599,2897429,12335262,1280630,31,29,Wildcard
CLE,Cleveland Guardians,2020,27.8,39299107,34471070,209630,3269241,1139981,35,25,Wildcard
PIT,Pittsburgh Pirates,2020,27.4,25343022,12738842,8467312,2437508,199360,19,41,No Playoffs
KC,Kansas City Royals,2020,26.9,34934696,25320148,7094043,1464114,1056391,26,34,No Playoffs
MIL,Milwaukee Brewers,2020,27.9,41434086,28464819,1203704,4484938,1354699,29,31,No Playoffs
CHW,Chicago White Sox,2020,27.3,53665251,43034329,1819815,7812642,789761,35,25,Wildcard
MIN,Minnesota Twins,2020,29.5,59679689,49057558,6876058,7313300,840180,36,24,Division Winner
TOR,Toronto Blue Jays,2020,27.6,54237801,33467052,5114444,14667030,778905,32,28,No Playoffs
ATL,Atlanta Braves,2020,29.1,60552671,50458292,7255497,1000284,838598,35,25,Division Winner
CIN,Cincinnati Reds,2020,28.4,55147001,51854326,658696,1922138,711841,31,29,No Playoffs
SEA,Seattle Mariners,2020,26.8,50563459,25865136,3268960,30708712,165095,27,33,No Playoffs
DET,Detroit Tigers,2020,26.7,43164880,29636694,6108631,6488226,931329,23,35,No Playoffs
SD,San Diego Padres,2020,28.4,72861614,54293958,3531020,14471215,565421,37,23,Wildcard
STL,St. Louis Cardinals,2020,28,73246343,51757860,12343763,12000000,1087757,30,28,No Playoffs
CHC,Chicago Cubs,2020,28.8,86012838,66116504,6448626,12464463,983245,34,26,Division Winner
SF,San Francisco Giants,2020,29,73408817,40562214,1428006,13996618,8718276,29,31,No Playoffs
TEX,Texas Rangers,2020,26.8,56098581,23101258,16905177,15338320,505066,22,38,No Playoffs
LAA,Los Angeles Angels,2020,28,67040893,56821306,509650,4356290,596339,26,34,No Playoffs
COL,Colorado Rockies,2020,28.4,67808533,23940328,17205744,30851852,958757,26,34,No Playoffs
ARI,Arizona Diamondbacks,2020,28.1,65598752,20283697,1589593,40016446,500312,25,35,No Playoffs
PHI,Philadelphia Phillies,2020,28.3,73543547,57105401,13236891,2662073,539182,28,32,No Playoffs
HOU,Houston Astros,2020,27.8,82655105,61406160,18763334,250000,754130,29,31,Wildcard
WSH,Washington Nationals,2020,29.5,74697333,45664863,20500582,7137096,98495,26,34,No Playoffs
LAD,Los Angeles Dodgers,2020,28,124719080,94165961,493889,16917530,7007070,43,17,Division Winner
NYM,New York Mets,2020,29.3,81945598,46360406,15399881,18418790,373486,26,34,No Playoffs
NYY,New York Yankees,2020,29,111939081,77215694,9920725,23982977,819685,33,27,Wildcard
BOS,Boston Red Sox,2020,27.6,84210390,36071047,16644224,15553004,15719893,24,36,No Playoffs
TB,Tampa Bay Rays,2019,27.3,64178722,54345374,644520,9084388,104440,96,66,Wildcard
OAK,Oakland Athletics,2019,28.5,98644531,83509128,622664,13870505,642234,97,65,Wildcard
PIT,Pittsburgh Pirates,2019,26.8,72176474,27674108,19571272,20053143,377951,69,93,No Playoffs
CLE,Cleveland Guardians,2019,27.6,106838693,83738008,6588308,16165338,347039,93,69,No Playoffs
MIN,Minnesota Twins,2019,27.3,125256003,96059595,1773872,19156231,266305,101,61,Division Winner
CHW,Chicago White Sox,2019,27.5,91371201,67330431,10267750,13080697,692323,72,89,No Playoffs
MIA,Miami Marlins,2019,27.4,75596271,66602760,3001903,4968020,1023588,57,105,No Playoffs
BAL,Baltimore Orioles,2019,26.5,73328658,52804601,9822272,8886476,1815309,54,108,No Playoffs
ARI,Arizona Diamondbacks,2019,27.5,118672377,65040742,11699600,26307583,15624452,85,77,No Playoffs
SD,San Diego Padres,2019,25.6,103699790,65446794,10746013,25368956,2138027,70,92,No Playoffs
ATL,Atlanta Braves,2019,28.7,143947963,117758736,8328689,17791906,68632,97,65,Division Winner
MIL,Milwaukee Brewers,2019,28.2,135889019,107189797,8283400,20248718,167104,89,73,Wildcard
HOU,Houston Astros,2019,28.5,167138259,153370215,11713065,1777467,277512,107,55,Division Winner
TEX,Texas Rangers,2019,26.1,127538766,64904339,26592526,31252401,4789500,78,84,No Playoffs
TOR,Toronto Blue Jays,2019,25.5,111086139,36637976,8512071,65351162,584930,67,95,No Playoffs
NYM,New York Mets,2019,28.1,146538234,104490573,16519542,25220967,307152,86,76,No Playoffs
CIN,Cincinnati Reds,2019,27.2,128691569,84680306,580000,43074191,357072,75,87,No Playoffs
KC,Kansas City Royals,2019,26.2,103973003,68625332,11895598,23207385,244688,59,103,No Playoffs
WSH,Washington Nationals,2019,29.4,172307808,155857858,1369684,14062625,1017641,93,69,Wildcard
STL,St. Louis Cardinals,2019,27.3,173544423,135268456,21794083,16427751,54133,91,71,Division Winner
LAD,Los Angeles Dodgers,2019,28.3,207000814,157394622,1341835,41972880,5736477,106,56,Division Winner
PHI,Philadelphia Phillies,2019,27.5,158976752,82703582,67270903,3500513,151754,81,81,No Playoffs
SEA,Seattle Mariners,2019,26.9,144388309,84703863,5638913,51230092,1015441,68,94,No Playoffs
NYY,New York Yankees,2019,28.6,223019037,171935047,42325463,7772219,408808,103,59,Division Winner
COL,Colorado Rockies,2019,27.3,155403513,120506596,12420904,17868240,4607773,71,91,No Playoffs
LAA,Los Angeles Angels,2019,27.2,157999465,118016581,15868930,23964754,149200,72,90,No Playoffs
SF,San Francisco Giants,2019,27.8,178054110,137019224,9768564,31241902,24420,77,85,No Playoffs
DET,Detroit Tigers,2019,26.8,114631137,72709746,14738806,26148511,1034074,47,114,No Playoffs
CHC,Chicago Cubs,2019,28.7,221580085,197673216,11093615,8275227,4538027,84,78,No Playoffs
BOS,Boston Red Sox,2019,28.1,229166880,165856221,37583783,25887800,394076,84,78,No Playoffs
TB,Tampa Bay Rays,2018,26.5,68810167,25668988,2213706,35944023,4983450,90,72,No Playoffs
OAK,Oakland Athletics,2018,28.9,77673582,61525657,4972604,10118631,1056690,97,65,Wildcard
PIT,Pittsburgh Pirates,2018,26.7,91025861,67576415,4670500,17492114,1286832,82,79,No Playoffs
MIL,Milwaukee Brewers,2018,28.6,108982016,87588839,7321500,11383150,388527,96,67,Division Winner
CHW,Chicago White Sox,2018,26.8,71839808,54911542,5920130,7681442,976694,62,100,No Playoffs
PHI,Philadelphia Phillies,2018,27,104297471,97016347,-,6936684,344440,80,82,No Playoffs
ATL,Atlanta Braves,2018,27.1,129739447,73767565,13299094,42392955,279833,90,72,Division Winner
MIA,Miami Marlins,2018,26.5,91665500,43033514,15407490,31020460,2204036,63,98,No Playoffs
MIN,Minnesota Twins,2018,27.1,115509520,56254373,29213890,29264527,776730,78,84,No Playoffs
CIN,Cincinnati Reds,2018,26.7,100305768,82511299,1344890,15242487,1207092,67,95,No Playoffs
SD,San Diego Padres,2018,26,101760815,50099477,5702300,44479430,934608,66,96,No Playoffs
CLE,Cleveland Guardians,2018,29.6,142604703,123470545,12836166,5222548,1075444,91,71,Division Winner
COL,Colorado Rockies,2018,28.3,143968544,131213168,7545000,4442400,767976,91,72,Wildcard
HOU,Houston Astros,2018,28.1,163724216,158720510,556400,4027264,420042,103,59,Division Winner
ARI,Arizona Diamondbacks,2018,28.9,141724597,107901628,14124025,5630585,14068359,82,80,No Playoffs
TEX,Texas Rangers,2018,27.3,120525018,76139016,6683451,36936251,766300,67,95,No Playoffs
SEA,Seattle Mariners,2018,29.4,160243827,136839663,13496812,9361340,546012,89,73,No Playoffs
NYY,New York Yankees,2018,27.5,180098151,148010829,22568376,9249414,269532,100,62,Wildcard
STL,St. Louis Cardinals,2018,26.8,162334311,113741329,27345600,20907798,339584,88,74,No Playoffs
NYM,New York Mets,2018,27.9,150187987,82655203,49831436,15314261,595087,77,85,No Playoffs
CHC,Chicago Cubs,2018,28.8,194259933,152092957,37451220,1216894,298862,95,68,Wildcard
DET,Detroit Tigers,2018,27.5,130995349,67047516,37720870,24437359,1789604,64,98,No Playoffs
TOR,Toronto Blue Jays,2018,26.8,150946147,81293347,20481474,48740616,430710,73,89,No Playoffs
