Team,Team Name,Year,Average Age,Total Payroll Allocations,Active 26-Man,Injured,Retained,Buried,Wins,Losses,Postseason
BOS,Boston Red Sox,2018,28.6,227398860,167955780,18074000,41755860,158220,108,54,Division Winner
LAD,Los Angeles Dodgers,2018,28.8,199582045,160502596,3908850,30541679,4628920,92,71,Division Winner
LAA,Los Angeles Angels,2018,27.5,173717599,91914083,57532566,24127380,143570,80,82,No Playoffs
WSH,Washington Nationals,2018,27.6,181382609,130197979,8999485,41161720,1023425,82,80,No Playoffs
KC,Kansas City Royals,2018,26.7,129944821,83618228,7189167,37811905,1325521,58,104,No Playoffs
BAL,Baltimore Orioles,2018,26.2,130413607,69637987,12650000,43550980,1574640,47,115,No Playoffs
SF,San Francisco Giants,2018,28.4,205665348,119689218,64341827,21136053,498250,73,89,No Playoffs
MIL,Milwaukee Brewers,2017,28,64576736,57578930,547000,6033614,417192,86,76,No Playoffs
TB,Tampa Bay Rays,2017,27.9,77811205,59818694,6867218,7098455,382917,80,82,No Playoffs
OAK,Oakland Athletics,2017,27.2,73477080,26723817,1437784,39189018,1126461,75,87,No Playoffs
SD,San Diego Padres,2017,26.5,76921678,23930424,5182750,42793983,5014521,71,91,No Playoffs
ARI,Arizona Diamondbacks,2017,28.3,102619475,81644775,19379200,1572116,23384,93,69,Wildcard
CHW,Chicago White Sox,2017,26.3,85495238,32540383,7571000,44858846,525009,67,95,No Playoffs
CLE,Cleveland Guardians,2017,27.9,132258928,116072319,6129713,10007205,49691,102,60,Division Winner
PIT,Pittsburgh Pirates,2017,27.7,100503030,66496313,16750000,14381028,125689,75,87,No Playoffs
HOU,Houston Astros,2017,28.1,138344211,128445916,835843,3284838,2052614,101,61,Division Winner
CIN,Cincinnati Reds,2017,25.7,96436003,64567947,16021450,15403006,443600,68,94,No Playoffs
MIN,Minnesota Twins,2017,27.8,120842831,75616449,22830000,19497309,2899073,85,77,Wildcard
MIA,Miami Marlins,2017,28.9,110765599,72360311,21441206,13782819,3181263,77,85,No Playoffs
ATL,Atlanta Braves,2017,27.5,105268575,81963434,1997766,21037983,269392,72,90,No Playoffs
PHI,Philadelphia Phillies,2017,25.7,104020808,28213540,16578578,58889622,339068,66,96,No Playoffs
COL,Colorado Rockies,2017,27.3,139499341,108379084,-,30443391,676866,87,75,Wildcard
STL,St. Louis Cardinals,2017,27.1,145256085,104261954,6935000,29772125,587006,83,79,No Playoffs
TEX,Texas Rangers,2017,28.1,141966320,106415185,1074360,33856996,619779,78,84,No Playoffs
KC,Kansas City Royals,2017,28.3,148227822,120678691,1046749,19965515,1536867,80,82,No Playoffs
CHC,Chicago Cubs,2017,28.4,172092536,161127834,-,10748400,216302,92,70,Division Winner
WSH,Washington Nationals,2017,29.1,182238854,164539852,11351707,5952690,394605,97,65,Division Winner
NYM,New York Mets,2017,26.6,143315158,48736470,44924726,49595502,58460,70,92,No Playoffs
SEA,Seattle Mariners,2017,28.4,160741810,120728483,29449738,9229977,1333612,78,84,No Playoffs
LAA,Los Angeles Angels,2017,28.9,166161209,114610825,16095730,34823286,631368,80,82,No Playoffs
BOS,Boston Red Sox,2017,28.1,209872508,172158546,5941108,30597474,1175380,93,69,Division Winner
NYY,New York Yankees,2017,27.4,209044502,161826896,7867680,36170687,179239,91,71,Wildcard
TOR,Toronto Blue Jays,2017,28.9,175617487,127315534,22811106,21914802,3576045,76,86,No Playoffs
BAL,Baltimore Orioles,2017,27.9,174129785,163560704,-,7267168,3301913,75,87,No Playoffs
LAD,Los Angeles Dodgers,2017,28.4,259311393,182501228,22654516,41492656,10735130,104,58,Division Winner
DET,Detroit Tigers,2017,27.1,188028874,91135320,18000000,77874916,1018638,64,98,No Playoffs
SF,San Francisco Giants,2017,28.1,188406809,171792784,7219058,6354972,3039995,64,98,No Playoffs
MIL,Milwaukee Brewers,2016,27.1,62161191,49464613,2517700,8299097,1879781,73,89,No Playoffs
TB,Tampa Bay Rays,2016,27.4,62408549,36226000,5226100,20177348,779101,68,94,No Playoffs
MIA,Miami Marlins,2016,28,76365306,60842038,3300000,10032559,2190709,79,82,No Playoffs
CLE,Cleveland Guardians,2016,28.1,104971268,61284062,11875000,30765065,47141,94,67,Division Winner
HOU,Houston Astros,2016,26.8,99828742,75441606,6968124,15955584,2113693,84,78,No Playoffs
OAK,Oakland Athletics,2016,26.7,83109288,28084351,19754414,35098597,171926,69,93,No Playoffs
SD,San Diego Padres,2016,27.2,83435559,21508794,13711664,48181815,33286,68,94,No Playoffs
PIT,Pittsburgh Pirates,2016,28,99518136,57311465,10861276,31267751,77644,78,83,No Playoffs
CIN,Cincinnati Reds,2016,27,87226437,63783665,11856070,10862757,723945,68,94,No Playoffs
ATL,Atlanta Braves,2016,26.6,96019377,46917344,8116832,41248677,244024,68,93,No Playoffs
ARI,Arizona Diamondbacks,2016,26,97874482,78823003,1051200,17455091,545188,69,93,No Playoffs
COL,Colorado Rockies,2016,27.4,106902280,88354041,1289832,16710362,548045,75,87,No Playoffs
PHI,Philadelphia Phillies,2016,26.8,103898809,53797706,22025303,21909132,6166668,71,91,No Playoffs
WSH,Washington Nationals,2016,28.5,139583852,119416458,5869400,14207786,90208,95,67,Division Winner
TEX,Texas Rangers,2016,27.5,143021690,114724626,21458018,6652924,186122,95,67,Division Winner
MIN,Minnesota Twins,2016,27,97244457,66477950,24241532,3663294,2861681,59,103,No Playoffs
CHW,Chicago White Sox,2016,27,129715686,88724466,12024268,28966952,-,78,84,No Playoffs
TOR,Toronto Blue Jays,2016,29.7,148385479,134332539,1000000,12644767,565489,89,73,Wildcard
NYM,New York Mets,2016,28.1,147744060,101803832,39822605,6117623,-,87,75,Wildcard
SEA,Seattle Mariners,2016,28.6,147003780,132303221,4036934,9931590,732035,86,76,No Playoffs
BAL,Baltimore Orioles,2016,28.5,154148832,148307663,2650245,2773173,417751,89,73,Wildcard
STL,St. Louis Cardinals,2016,27.9,149355870,132790389,13596500,2968981,-,86,76,No Playoffs
KC,Kansas City Royals,2016,28.3,141587358,106349212,20825000,14210664,202482,81,81,No Playoffs
CHC,Chicago Cubs,2016,28.4,186772494,165798832,2050500,17412586,1510576,103,58,Division Winner
SF,San Francisco Giants,2016,29.2,178834344,176684532,487120,1082965,579729,87,75,Wildcard
BOS,Boston Red Sox,2016,28.5,207758836,165121274,19567513,2194948,20875101,93,69,Division Winner
DET,Detroit Tigers,2016,28.2,200179285,163019728,28189200,8675064,295293,86,75,No Playoffs
LAA,Los Angeles Angels,2016,27.7,174290373,89811509,39667205,42327190,2484469,74,88,No Playoffs
NYY,New York Yankees,2016,27.6,220743376,159213515,10509409,50238466,781986,84,78,No Playoffs
LAD,Los Angeles Dodgers,2016,28.5,264470494,193881011,13288890,52652847,4647746,91,71,Division Winner
TB,Tampa Bay Rays,2015,27.1,73241552,52092948,8440963,12164597,543044,80,82,No Playoffs
HOU,Houston Astros,2015,27.6,81341546,64818398,11040900,3150680,2331568,86,76,Wildcard
CLE,Cleveland Guardians,2015,27.1,77404413,45520977,680720,29817050,1385666,81,80,No Playoffs
ARI,Arizona Diamondbacks,2015,26,76781801,45142733,1026500,30465028,147540,79,83,No Playoffs
PIT,Pittsburgh Pirates,2015,28.8,99435606,78904030,14318868,2759768,452940,98,64,Wildcard
MIA,Miami Marlins,2015,27.1,72990525,28171144,15751830,19528890,138661,71,91,No Playoffs
OAK,Oakland Athletics,2015,27.9,80491339,42311467,8772896,29168581,238395,68,94,No Playoffs
NYM,New York Mets,2015,28.3,110398927,103930260,5551249,129200,476251,90,72,Division Winner
MIN,Minnesota Twins,2015,28.1,106231818,101448147,2070081,2200000,513590,83,79,No Playoffs
STL,St. Louis Cardinals,2015,28.4,132178951,128814787,3195000,-,169164,100,62,Division Winner
KC,Kansas City Royals,2015,28.8,126529835,111740891,10483450,4047582,257912,95,67,Division Winner
CHC,Chicago Cubs,2015,28.3,132993810,106652384,1000000,23656617,1684809,97,65,Wildcard
MIL,Milwaukee Brewers,2015,26.5,93852267,58772714,1020000,33510458,549095,68,94,No Playoffs
BAL,Baltimore Orioles,2015,27.5,116400870,97083315,1245000,17776584,295971,81,81,No Playoffs
SD,San Diego Padres,2015,27.6,107915272,93212255,11029819,3267222,405976,74,88,No Playoffs
TOR,Toronto Blue Jays,2015,29.4,138309664,106426104,6382500,25214964,286096,93,69,Division Winner
COL,Colorado Rockies,2015,27.1,101277051,74930648,6103870,19940868,301665,68,94,No Playoffs
TEX,Texas Rangers,2015,27.6,135285607,111715876,13135760,10018970,415001,88,74,Division Winner
CHW,Chicago White Sox,2015,27.4,116925487,94365735,507500,9052252,-,76,86,No Playoffs
ATL,Atlanta Braves,2015,26.7,110913266,55097676,11263899,44307649,244042,67,95,No Playoffs
SEA,Seattle Mariners,2015,27.5,126045473,95874782,1383169,25921321,2866201,76,86,No Playoffs
LAA,Los Angeles Angels,2015,28,142198162,106512083,19015000,16043722,627357,85,77,No Playoffs
CIN,Cincinnati Reds,2015,27.4,112333097,68445559,22890777,20832787,163974,64,98,No Playoffs
WSH,Washington Nationals,2015,28,165655095,146009803,17556549,2000000,88743,83,79,No Playoffs
SF,San Francisco Giants,2015,29.4,180163630,133109385,38423837,7522089,1108319,84,78,No Playoffs
DET,Detroit Tigers,2015,27.4,162160921,109879336,27072978,25208607,-,74,87,No Playoffs
PHI,Philadelphia Phillies,2015,27.4,141722639,52800331,33290177,51719664,3912467,63,99,No Playoffs
BOS,Boston Red Sox,2015,27.2,183481478,95030446,42985571,45443277,22184,78,84,No Playoffs
NYY,New York Yankees,2015,27.6,221242659,187465727,24415379,8459561,394492,87,75,Wildcard
LAD,Los Angeles Dodgers,2015,28.4,301735080,202137688,20914084,68164195,10519113,92,70,Division Winner
MIA,Miami Marlins,2014,26.8,50559679,42496784,-,7939616,123279,77,85,No Playoffs
HOU,Houston Astros,2014,26.7,51679490,45231726,-,6051590,396174,70,92,No Playoffs
PIT,Pittsburgh Pirates,2014,27.6,76802804,69388939,-,7320970,92895,88,74,Wildcard
CLE,Cleveland Guardians,2014,27.7,84481929,60720646,-,23415930,345353,85,77,No Playoffs
TB,Tampa Bay Rays,2014,28,76821046,63704707,-,13116339,-,77,85,No Playoffs
OAK,Oakland Athletics,2014,29.1,91638412,65864461,-,22605236,3168715,88,74,Wildcard
KC,Kansas City Royals,2014,28.7,96603300,90536848,-,4686452,1380000,89,73,Wildcard
SD,San Diego Padres,2014,27.6,85001967,67296350,501400,16594743,609474,77,85,No Playoffs
BAL,Baltimore Orioles,2014,28,113562943,108470318,-,2282926,2809699,96,66,Division Winner
NYM,New York Mets,2014,27.5,94478037,74021346,-,19290982,1165709,79,83,No Playoffs
CHW,Chicago White Sox,2014,26.9,89297302,60305897,-,28411749,579656,73,89,No Playoffs
CHC,Chicago Cubs,2014,26.7,90364741,54429470,-,34683034,1252237,73,89,No Playoffs
MIN,Minnesota Twins,2014,27,87494478,72140448,-,15337637,16393,70,92,No Playoffs
MIL,Milwaukee Brewers,2014,28.3,108777046,108174589,-,520491,81966,82,80,No Playoffs
SEA,Seattle Mariners,2014,27.5,115534174,100330060,-,12504114,1700000,87,75,No Playoffs
STL,St. Louis Cardinals,2014,27.5,121340470,114640584,-,5699886,1000000,90,72,Division Winner
COL,Colorado Rockies,2014,27.8,96772365,96456583,-,202995,112787,66,96,No Playoffs
ATL,Atlanta Braves,2014,27,116865707,102713304,-,14100492,51911,79,83,No Playoffs
CIN,Cincinnati Reds,2014,27.9,113351318,99729931,5500000,6890711,1744338,76,86,No Playoffs
WSH,Washington Nationals,2014,28.3,143278577,142964370,-,136612,177595,96,66,Division Winner
ARI,Arizona Diamondbacks,2014,26.9,106343190,67825588,9500000,28134272,333330,64,98,No Playoffs
LAA,Los Angeles Angels,2014,28.6,165244781,132293502,-,32051279,900000,98,64,Division Winner
TOR,Toronto Blue Jays,2014,28,141812172,122125961,3000000,5186211,11500000,83,79,No Playoffs
SF,San Francisco Giants,2014,28.8,160336782,152735333,-,7501449,100000,88,74,Wildcard
TEX,Texas Rangers,2014,26.8,124805583,116811403,-,7994180,-,67,95,No Playoffs
DET,Detroit Tigers,2014,27.8,172143106,148590789,15800000,7255247,497070,90,72,Division Winner
BOS,Boston Red Sox,2014,27.7,170095758,95417971,-,61397733,30054,71,91,No Playoffs
PHI,Philadelphia Phillies,2014,29.1,175061605,145123014,25000000,4263731,674860,73,89,No Playoffs
NYY,New York Yankees,2014,29.5,212512317,196734750,-,15663048,114519,84,78,No Playoffs
LAD,Los Angeles Dodgers,2014,28.9,241557818,235557818,-,3000000,3000000,94,68,Division Winner
HOU,Houston Astros,2013,25.3,28727913,12078450,-,15562961,1086502,51,111,No Playoffs
MIA,Miami Marlins,2013,26.3,36209554,27969339,-,6896666,543549,62,100,No Playoffs
OAK,Oakland Athletics,2013,28,67055517,65065572,-,1984590,5355,96,66,Division Winner
PIT,Pittsburgh Pirates,2013,28.2,71480984,67762905,-,832370,2885709,94,68,Wildcard
TB,Tampa Bay Rays,2013,29.1,72600703,70029393,270436,2250000,50874,92,71,Wildcard
SD,San Diego Padres,2013,27.5,67649701,64220894,-,3238561,190246,76,86,No Playoffs
KC,Kansas City Royals,2013,28.2,84398434,76594673,-,6399663,1404098,86,76,No Playoffs
ATL,Atlanta Braves,2013,27.7,94947950,94401592,-,202972,343386,96,66,Division Winner
CLE,Cleveland Guardians,2013,28.1,93008897,78454465,602603,13914068,37761,92,70,Wildcard
COL,Colorado Rockies,2013,27.9,76741788,73766018,-,1459705,1516065,74,88,No Playoffs
ARI,Arizona Diamondbacks,2013,28.2,88316478,78126043,-,9916749,273686,81,81,No Playoffs
CIN,Cincinnati Reds,2013,28.3,103804640,97930597,4500000,-,1374043,90,72,Wildcard
SEA,Seattle Mariners,2013,26.8,82720022,63758496,-,18717866,243660,71,91,No Playoffs
BAL,Baltimore Orioles,2013,27.6,100430869,97466019,-,1222009,42841,85,77,No Playoffs
MIL,Milwaukee Brewers,2013,27.5,88221045,70615690,-,7818853,286502,74,88,No Playoffs
MIN,Minnesota Twins,2013,27.2,81300970,58450017,-,17083194,5767759,66,96,No Playoffs
STL,St. Louis Cardinals,2013,27.8,120192638,114729933,-,5406476,56229,97,65,Division Winner
WSH,Washington Nationals,2013,26.9,116584094,107973970,491000,6025410,2093714,86,76,No Playoffs
NYM,New York Mets,2013,28,101300814,70361236,500625,29697743,741210,74,88,No Playoffs
TEX,Texas Rangers,2013,28.5,137937146,124162497,465901,13104000,204748,91,72,No Playoffs
CHC,Chicago Cubs,2013,26.8,103152899,55657243,2263715,40905330,4326611,66,96,No Playoffs
DET,Detroit Tigers,2013,28.4,157332966,151033294,494000,5805672,-,93,69,Division Winner
BOS,Boston Red Sox,2013,28.9,172084264,167018895,-,5340903,96393,97,65,Division Winner
CHW,Chicago White Sox,2013,26.9,111777595,82929539,-,28663303,184753,63,99,No Playoffs
TOR,Toronto Blue Jays,2013,29.3,131771168,118289792,-,5613565,7867811,74,88,No Playoffs
LAA,Los Angeles Angels,2013,27.7,141542644,117426989,-,23845171,270484,78,84,No Playoffs
SF,San Francisco Giants,2013,28.4,140280186,137880980,-,2157977,241229,76,86,No Playoffs
PHI,Philadelphia Phillies,2013,28.8,163536898,154262761,765791,8307527,200819,73,89,No Playoffs
LAD,Los Angeles Dodgers,2013,29.1,236694375,207849759,-,22547116,6297500,92,70,Division Winner
NYY,New York Yankees,2013,29.8,234518126,221782587,-,10760350,1975189,85,77,No Playoffs
OAK,Oakland Athletics,2012,27.2,60470192,56608334,-,3861858,-,94,68,Division Winner
TB,Tampa Bay Rays,2012,28.6,68144135,67844135,-,300000,-,90,72,No Playoffs
PIT,Pittsburgh Pirates,2012,28.2,61118682,57932479,-,3186203,-,79,83,No Playoffs
SD,San Diego Padres,2012,27.5,63831125,60053625,-,2550000,1227500,76,86,No Playoffs
BAL,Baltimore Orioles,2012,27,82932168,80099381,-,2832787,-,93,69,Wildcard
CIN,Cincinnati Reds,2012,27.8,89901498,89101498,-,-,800000,97,65,Division Winner
KC,Kansas City Royals,2012,26.4,70344235,66385000,-,2579235,1380000,72,90,No Playoffs
HOU,Houston Astros,2012,26.1,54547239,23728500,-,30818739,-,55,107,No Playoffs
ARI,Arizona Diamondbacks,2012,28.6,80711013,74074400,-,6636613,-,81,81,No Playoffs
WSH,Washington Nationals,2012,27.2,98044359,95623594,-,420765,2000000,98,64,Division Winner
ATL,Atlanta Braves,2012,28.4,97928056,86492616,-,11435440,-,94,68,Wildcard
SEA,Seattle Mariners,2012,26.7,84289928,73071348,-,11218580,-,75,87,No Playoffs
CLE,Cleveland Guardians,2012,27.2,76577243,70583254,-,5993989,-,68,94,No Playoffs
CHW,Chicago White Sox,2012,27.9,108841055,108119744,-,721311,-,85,77,No Playoffs
TOR,Toronto Blue Jays,2012,28.2,95551627,89817658,-,5083969,650000,73,89,No Playoffs
MIL,Milwaukee Brewers,2012,27.7,113095795,110652079,-,2443716,-,83,79,No Playoffs
LAD,Los Angeles Dodgers,2012,29,117202717,112952717,-,4250000,-,86,76,No Playoffs
COL,Colorado Rockies,2012,27.2,87232529,76398104,-,10834425,-,64,98,No Playoffs
STL,St. Louis Cardinals,2012,28,119957765,118482081,-,1475684,-,88,74,Wildcard
NYM,New York Mets,2012,27.4,104988166,101049642,-,3938524,-,74,88,No Playoffs
MIA,Miami Marlins,2012,27.3,98120191,80745905,-,17249970,124316,69,93,No Playoffs
SF,San Francisco Giants,2012,29,137043205,122345338,-,14697867,-,94,68,Division Winner
TEX,Texas Rangers,2012,27.4,138312903,135062903,-,3250000,-,93,69,Wildcard
DET,Detroit Tigers,2012,27.2,143782286,138282286,-,5500000,-,88,74,Division Winner
MIN,Minnesota Twins,2012,27.6,107939507,107939507,-,-,-,66,96,No Playoffs
LAA,Los Angeles Angels,2012,28.4,157168625,153844690,-,3323935,-,89,73,No Playoffs
CHC,Chicago Cubs,2012,26.4,115861526,83319366,-,32542160,-,61,101,No Playoffs
PHI,Philadelphia Phillies,2012,29.5,177862491,167544458,-,10318033,-,81,81,No Playoffs
NYY,New York Yankees,2012,30.4,225589742,213651218,-,11938524,-,95,67,Division Winner
BOS,Boston Red Sox,2012,28.5,173216551,166392780,-,6823771,-,69,93,No Playoffs
TB,Tampa Bay Rays,2011,27.7,45386925,45386925,-,-,-,91,71,Wildcard
PIT,Pittsburgh Pirates,2011,26.9,47976645,46168585,-,1808060,-,72,90,No Playoffs
SD,San Diego Padres,2011,27.9,48018810,47418810,-,600000,-,71,91,No Playoffs
ARI,Arizona Diamondbacks,2011,28.5,64297970,56498519,-,6899451,900000,94,68,Division Winner
CLE,Cleveland Guardians,2011,27.4,55960593,55960593,-,-,-,80,82,No Playoffs
KC,Kansas City Royals,2011,26.1,52486804,38687131,-,12419673,1380000,71,91,No Playoffs
MIA,Miami Marlins,2011,27.2,65006851,63006851,-,2000000,-,72,90,No Playoffs
TOR,Toronto Blue Jays,2011,26.2,73491604,56304461,-,17187143,-,81,81,No Playoffs
WSH,Washington Nationals,2011,27.4,74574723,72574723,-,-,2000000,80,81,No Playoffs
MIL,Milwaukee Brewers,2011,28.5,92277138,91777138,-,500000,-,96,66,Division Winner
OAK,Oakland Athletics,2011,27.3,75241048,68725475,-,6515573,-,74,88,No Playoffs
CIN,Cincinnati Reds,2011,27.8,81920546,79612874,-,2307672,-,79,83,No Playoffs
TEX,Texas Rangers,2011,28,103326721,98857920,-,4468801,-,96,66,Division Winner
ATL,Atlanta Braves,2011,28.7,98696230,98521630,-,174600,-,89,73,No Playoffs
COL,Colorado Rockies,2011,27.8,82897934,77367736,-,5530198,-,73,89,No Playoffs
DET,Detroit Tigers,2011,27.6,111521015,111271015,-,250000,-,95,67,Division Winner
STL,St. Louis Cardinals,2011,28.3,118919465,115410901,-,2808564,700000,90,72,Wildcard
BAL,Baltimore Orioles,2011,27.7,91751399,91391741,-,-,359658,69,93,No Playoffs
LAD,Los Angeles Dodgers,2011,28.6,115174517,98385517,-,16789000,-,82,79,No Playoffs
SF,San Francisco Giants,2011,29,125242452,124142452,-,1100000,-,86,76,No Playoffs
SEA,Seattle Mariners,2011,26.9,100829148,88307834,-,12521314,-,67,95,No Playoffs
HOU,Houston Astros,2011,27.2,84598388,71121885,-,13476503,-,56,106,No Playoffs
CHW,Chicago White Sox,2011,28.5,127263027,114482025,-,12781002,-,79,83,No Playoffs
PHI,Philadelphia Phillies,2011,29.9,170018182,169849882,-,168300,-,102,60,Division Winner
LAA,Los Angeles Angels,2011,27.7,146648559,133613959,-,13034600,-,86,76,No Playoffs
MIN,Minnesota Twins,2011,27.4,114445627,107337033,-,7108594,-,63,99,No Playoffs
NYM,New York Mets,2011,28.7,142245841,96577418,-,45668423,-,77,85,No Playoffs
BOS,Boston Red Sox,2011,28.9,170490761,162455090,-,8239278,-,90,72,No Playoffs
CHC,Chicago Cubs,2011,28.1,137666584,123941584,-,13725000,-,71,91,No Playoffs
NYY,New York Yankees,2011,29.5,210950685,210950685,-,-,-,97,65,Division Winner
